audience score,box office (gross usa),genre,original language,release date (theaters),runtime,title,tomatometer
73.0,$24.0K,"Comedy, Drama",English,"Sep 15 1993, limited",2h 5m,Household Saints,68.0
57.0,$945.9K,"Comedy, Drama",Finnish,"Nov 17 2023, limited",1h 21m,Fallen Leaves,97.0
43.0,$6.6M,"Sci-fi, Mystery & thriller, Action, Drama",English,"Jan 19 2024, wide",1h 35m,I.S.S.,62.0
100.0,$56.9K,Drama,Spanish,"Jan 26 2024, limited",1h 35m,Tótem,97.0
87.0,$97.4K,"Documentary, Drama",Arabic,"Oct 27 2023, limited",1h 47m,Four Daughters,95.0
75.0,$848.9K,Drama,English,"Jan 19 2024, wide",2h 2m,Freud's Last Session,44.0
46.0,$198.4K,"Action, Crime, Drama",Chinese,"Jan 12 2024, limited",1h 55m,I Did It My Way,25.0
92.0,$434.6K,"Drama, Mystery & thriller",Japanese,"Nov 22 2023, limited",2h 6m,Monster,96.0
95.0,$96.2K,"Comedy, Drama, Crime",French,"Dec 25 2023, limited",1h 42m,The Crime Is Mine,98.0
81.0,$122.3M,"Action, Adventure, Fantasy",English,"Dec 22 2023, wide",2h 4m,Aquaman and the Lost Kingdom,34.0
51.0,$979.8K,"Horror, Mystery & thriller",Unknown language,"Feb 9 2024, limited",1h 27m,Out of Darkness,83.0
43.0,$30.0M,"Horror, Mystery & thriller",English,"Jan 5 2024, wide",1h 38m,Night Swim,22.0
97.0,$50.9M,"History, Drama, Biography, Sports",English,"Dec 25 2023, wide",2h 4m,The Boys in the Boat,58.0
77.0,$5.9M,"History, Drama, War",German,"Dec 15 2023, limited",1h 46m,The Zone of Interest,93.0
68.0,$578.0K,"Kids & family, Comedy, Fantasy, Animation",English,"Feb 9 2024, wide",1h 40m,Turning Red,95.0
61.0,$41.6K,"Musical, Romance, Drama",English,"Aug 17 1981, limited",1h 38m,One From the Heart,51.0
65.0,$117.7K,Drama,English,"Feb 2 2024, limited",1h 38m,How to Have Sex,96.0
59.0,$220.6K,Drama,English,"Dec 1 2023, limited",1h 44m,The Sweet East,78.0
50.0,$61.9K,Drama,Vietnamese,"Jan 19 2024, limited",2h 58m,Inside the Yellow Cocoon Shell,98.0
94.0,$43.1K,"History, Drama, Animation",Polish,"Dec 8 2023, limited",1h 54m,The Peasants,58.0
88.0,$49.6K,"Crime, Drama",English,"Jan 12 2024, limited",1h 37m,The Settlers,93.0
72.0,$28.6M,"Action, Adventure, Comedy, Drama, Mystery & thriller",English,"Feb 2 2024, wide",2h 19m,Argylle,33.0
92.0,$54.7M,"Action, Mystery & thriller",English,"Jan 12 2024, wide",1h 45m,The Beekeeper,70.0
88.0,$110.1M,"Kids & family, Comedy, Adventure, Animation",English,"Dec 22 2023, wide",1h 23m,Migration,72.0
87.0,$80.1M,"Romance, Comedy",English,"Dec 22 2023, wide",1h 43m,Anyone But You,53.0
97.0,$4.0M,Drama,English,"Jan 19 2024, wide",2h 15m,Origin,83.0
92.0,$3.8M,"Romance, Drama, Fantasy",English,"Dec 22 2023, limited",1h 45m,All of Us Strangers,96.0
100.0,$52.9K,Drama,English,"Feb 9 2024, limited",1h 47m,The Monk and the Gun,92.0
81.0,$63.7M,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",English,"Nov 22 2023, wide",1h 32m,Wish,48.0
93.0,$184.8K,Drama,Japanese,"Nov 10 2023, limited",2h 3m,Perfect Days,95.0
95.0,$217.6K,"History, Drama",Danish,"Feb 2 2024, limited",2h 7m,The Promised Land,96.0
