"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (dvd)","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"",,"Shabeer Kallarakkal, Mirnaa, Porkodi","Vikram Shreedharan",,"Mystery & thriller","Tamil","Vikram Shreedharan, Sriram Sivaraman","Sapiens Entertainment",,,,"Feb 23 2024, limited",,,,"Set in 1999, Lieutenant Daniel returns home six months after being abducted in a war zone and finds that his six month old pregnant wife, Jennifer suffers from health complications. He decides to take her to a natural birthing village for her delivery. As the event unfolds in the birthing village, they become aware of an impending danger deliberately directed at the baby.","Birthmark","","https://www.rottentomatoes.com/m/birthmark",,"Vikram Shreedharan, Sriram Sivaraman"
,"",,"Rituparna Sengupta, Milind Gunaji, Shishir Sharma","Vivek Srivastava, Mukesh Modi","Reliance Entertainment","Drama","Hindi","Mukesh Modi",,,,,"Feb 23 2024, limited",,"2h 20m",,"When India became a democratic country in 1947 it granted a great power to each man and a woman--a power of 'right to vote'. A right to select their leader! A leader who serve the nation and its people with a full heart. Leaders seek to be light in darkness, to raise hope! They were the hope of their better life and future! But with the passing of time, politicians changed the meaning of politics. Present politics turned out to be a battle--""a battle of the throne"". Politicians today want to be in power to enjoy authority, rule the people and collect loads of wealth.","Political War","","https://www.rottentomatoes.com/m/political_war",,"Mukesh Modi, Manoj Pandey"
,"73","$24.0K","Tracey Ullman, Vincent D'Onofrio, Lili Taylor","Nancy Savoca","Fine Line Features","Comedy, Drama","English","Richard Guay, Peter Newman","Jones Entertainment Group, Newman-Guay Productions","R (Two Scenes of Sexuality)",,"Mar 12 2024","Sep 15 1993, limited","Jan 12 2024","2h 5m","Stereo Surround","Nancy Savoca's star-studded indie gem is a chronicle of a spirited Italian-American New York family that perfectly balances humor, tragedy, and pathos. Joseph Santangelo (Vincent D'Onofrio) is a butcher with a wicked sense of humor who ""wins"" his wife Catherine (a stellar Tracey Ullman) in a pinochle game. Over the protests of his mother (Judith Malina) who talks to ghosts and makes deals with saints, Joseph marries Catherine. When the old lady dies, her spirit is channeled into her granddaughter Teresa who overtakes the film with her yearning to serve God.","Household Saints","68","https://www.rottentomatoes.com/m/household_saints",,"Richard Guay, Nancy Savoca"
,"57","$945.9K","Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen","Aki Kaurismäki","MUBI","Comedy, Drama","Finnish","Misha Jaari, Aki Kaurismäki, Mark Lwoff","Sputnik Oy",,,,"Nov 17 2023, limited",,"1h 21m",,"In modern-day Helsinki, two lonely souls in search of love meet by chance in a local karaoke bar. However, the pair's path to happiness is beset by numerous obstacles -- from lost numbers to mistaken addresses, alcoholism, and a charming stray dog.","Fallen Leaves","97","https://www.rottentomatoes.com/m/fallen_leaves",,"Aki Kaurismäki, Aki Kaurismäki"
,"","$22.8K","Guillaume Gouix, Jean-Luc Godard, Nathalie Baye","Cyril Leuthy","Kino Lorber","Documentary","French (France)","Cathy Palumbo, Victor Robert","10.7 Productions, Arte France",,,"Feb 13 2024","Dec 15 2023, limited",,"1h 40m",,"Jean-Luc Godard is synonymous with cinema. With the release of Breathless in 1960, he established himself overnight as a cinematic rebel and symbol for the era's progressive and anti-war youth. Sixty-two years and 140 films later, Godard is among the most renowned artists of all time, taught in every film school yet still shrouded in mystery. One of the founders of the French New Wave, political agitator, revolutionary misanthrope, film theorist and critic, the list of his descriptors goes on and on. Godard Cinema offers an opportunity for film lovers to look back at his career and the subjects and themes that obsessed him, while paying tribute to the ineffable essence of the most revered French director of all time.","Godard Cinema","57","https://www.rottentomatoes.com/m/godard_cinema",,"Cyril Leuthy"
"Scope (2.35:1)","93",,"Kingsley Ben-Adir, Lashana Lynch, James Norton","Reinaldo Marcus Green","Paramount Pictures","Biography, Drama, Music","English","Robert Teitel, Dede Gardner, Jeremy Kleiner, Ziggy Marley, Rita Marley, Cedella Marley","State Street Pictures, Tuff Gong Pictures, Plan B Entertainment","PG-13 (Smoking Throughout|Marijuana Use|Brief Strong Language|Some Violence)",,,"Feb 14 2024, wide",,"1h 44m","Dolby Digital","BOB MARLEY: ONE LOVE celebrates the life and music of an icon who inspired generations through his message of love and unity. On the big screen for the first time, discover Bob's powerful story of overcoming adversity and the journey behind his revolutionary music.","Bob Marley: One Love","41","https://www.rottentomatoes.com/m/bob_marley_one_love",,"Terence Winter, Frank E. Flowers, Zach Baylin, Reinaldo Marcus Green"
"Digital 2.39:1","55",,"Dakota Johnson, Sydney Sweeney, Celeste O'Connor","S.J. Clarkson","Columbia Pictures","Action, Adventure, Mystery & thriller","English","Lorenzo di Bonaventura","Di Bonaventura Pictures, TSG Entertainment","PG-13 (Violence/Action and Language)",,,"Feb 14 2024, wide",,"1h 57m","Dolby Atmos","In a switch from the typical genre, Madame Web tells the standalone origin story of one of Marvel publishing's most enigmatic heroines. The suspense-driven thriller stars Dakota Johnson as Cassandra Webb, a paramedic in Manhattan who develops the power to see the future... and realizes she can use that insight to change it. Forced to confront revelations about her past, she forges a relationship with three young women bound for powerful destinies... if they can all survive a deadly present.","Madame Web","13","https://www.rottentomatoes.com/m/madame_web",,"Matt Sazama, Burk Sharpless, Claire Parker, S.J. Clarkson"
,"51",,"Gina Rodriguez, Damon Wayans Jr., Tom Ellis","Trish Sie","Netflix","Romance, Comedy","English","Ryan Christians, Ross M. Dinerstein, Marc Platt","Marc Platt Productions",,,"Feb 14 2024","Feb 14 2024, limited",,"1h 45m",,"New York sportswriter Mack (Gina Rodriguez) has spent years devising successful hook-up ""plays"" with best friend Adam (Damon Wayans Jr.) and their crew. While it has led to countless one-night stands over the years, following their playbook comes with a strict set of ground rules -- chief among them: you can't build a relationship from a play. When Mack unexpectedly falls for her latest target, charming war correspondent Nick (Tom Ellis), she begins to rethink the game entirely. As the lines between work, fun, friendship, and romance begin to blur, Mack must learn what it takes to go from simply scoring to playing for keeps.","Players","45","https://www.rottentomatoes.com/m/players_2023",,"Whit Anderson"
,"",,"Liam Hemsworth, Russell Crowe, Luke Hemsworth","William Eubank","The Avenue","Action, Mystery & thriller","English","David Frigerio, William Eubank, Michael Jefferson, Adam Beasley, Nathan Klingher, Ryan Winterstern, Arianne Fraser, Petr Jákl, Mark Fasano","Broken Open Pictures, Highland Film Group (HFG), Short Porch Pictures, Volition Media Partners, R.U. Robot","R (Strong Bloody Violence|Language Throughout)",,,"Feb 16 2024, limited",,"1h 50m",,"Starring Russell Crowe and Liam Hemsworth, a covert Special Forces operation in the South Philippines spirals into a brutal 48-hour battle for survival. When an elite extraction team is ambushed deep in enemy territory, rookie officer Kinney (Hemsworth) is left outnumbered but determined to leave no man behind. With an air strike closing in, Kinney's only hope hinges on the guidance of Air Force drone pilot Reaper (Crowe), navigating unknowable danger where every move could be their last.","Land of Bad","57","https://www.rottentomatoes.com/m/land_of_bad",,"David Frigerio, William Eubank"
,"",,"David French, Kristin Kobes Du Mez, Russell Moore","Dan Partland","Oscilloscope Laboratories","Documentary","English","Rob Reiner, Michele Singer, Steve Okin, Dan Partland","Oscilloscope Laboratories, Aononymous Content, Critical Thinking Media","PG-13",,,"Feb 16 2024, limited",,"1h 30m",,"GOD & COUNTRY looks at the implications of Christian Nationalism and how it distorts not only our constitutional republic, but Christianity itself. Featuring prominent Christian thought leaders, GOD & COUNTRY asks this question: What happens when a faith built on love, sacrifice, and forgiveness grows political tentacles, conflating power, money, and belief into hyper-nationalism?","God & Country","91","https://www.rottentomatoes.com/m/god_and_country_the_rise_of_christian_nationalism",,
