"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"75",,"Joel Edgerton, Sean Harris, Jada Alberts","Thomas Wright",,"Crime, Drama, Mystery & thriller","English","Rachel Gardner, Iain Canning, Emile Sherman, Kerry Kohansky-Roberts, Kim Hodgert, Joel Edgerton",,,"Oct 19 2022",,,"1h 57m",,"A friendship forms between two strangers. For Henry Teague (Sean Harris), worn down by a lifetime of physical labor, this is a dream come true. His new friend Mark (Joel Edgerton) becomes his savior and ally. However, neither is who they appear to be, each carry secrets that threaten to ruin them -- and in the background, one of the nation's largest police operations is closing in.","The Stranger","92","https://www.rottentomatoes.com/m/the_stranger_2022",,"Thomas Wright"
,"88",,"Annette Bening, Jodie Foster, Rhys Ifans","Elizabeth Chai Vasarhelyi, Jimmy Chin","Netflix","Biography, Drama","English","Andrew Lazar, Teddy Schwarzman","Black Bear Pictures, Mad Chance","PG-13 (Sexual Abuse|Brief Partial Nudity|Some Strong Language|Thematic Material)","Nov 3 2023","Oct 20 2023, limited",,"2h 1m","Dolby Digital","A remarkable true story of tenacity, friendship and the triumph of the human spirit, NYAD recounts a riveting chapter in the life of world-class athlete Diana Nyad. Three decades after giving up marathon swimming in exchange for a prominent career as a sports journalist, at the age of 60, Diana (four-time Academy Award nominee Annette Bening) becomes obsessed with completing an epic swim that always eluded her: the 110 mile trek from Cuba to Florida, often referred to as the ""Mount Everest"" of swims. Determined to become the first person to finish the swim without a shark cage, Diana goes on a thrilling, four-year journey with her best friend and coach Bonnie Stoll (two-time Academy Award winner Jodie Foster) and a dedicated sailing team.","Nyad","86","https://www.rottentomatoes.com/m/nyad",,"Julia Cox"
"Flat (1.85:1)","40","$37.2M","Britney Spears, Anson Mount, Zoe Saldana","Tamra Davis","Paramount Pictures","Comedy, Drama","English","Ann Carli","MTV Films, Zomba Films","PG-13 (Sexual Content|Brief Teen Drinking)","Jan 1 2017","Feb 15 2002, wide","Oct 23 2023","1h 34m","Dolby Stereo Dolby Digital, Dolby A, Surround, Dolby SR","The story of three childhood friends, Lucy (Britney Spears), Kit (Zoe Saldana) and Mimi (Taryn Manning), who, after eight years apart, rediscover their friendship on a cross-country trip. With barely a plan, practically no money but plenty of dreams, the girls catch a lift with Mimi's handsome friend Ben (Anson Mount) in his convertible. Along the way they not only gather experiences that will change their lives, but they also discover how important it is to hold onto their hearts' desires.","Crossroads","15","https://www.rottentomatoes.com/m/1112549-crossroads",,"Shonda Rhimes"
"Digital 2.39:1","94","$381.2M","Shameik Moore, Hailee Steinfeld, Oscar Isaac","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Sony Pictures","Kids & family, Action, Adventure, Comedy, Fantasy, Animation","English","Chris Miller, Phil Lord, Amy Pascal, Avi Arad, Christina Steinberg","Sony Pictures Entertainment (SPE), Lord Miller, Sony Pictures Animation, Arad Productions, Marvel Entertainment, Pascal Pictures","PG (Some Language|Animated Action Violence|Thematic Elements)","Aug 8 2023","Jun 2 2023, wide",,"2h 20m","Dolby Digital SDDS, Dolby Atmos","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.","Spider-Man: Across the Spider-Verse","95","https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse",,"Phil Lord, Chris Miller, David Callaham"
,"71","$35.8K","Danielle Macdonald, Joanna Lumley, Hugh Skinner","Ben Lewin","IFC Films","Romance, Comedy","English","Philip Wade, Judi Levine, Arabella Page Croft","Southern Light Films, Such Much Films, Black Camel Pictures, 5 Name Films, Particular Crowd",,"Oct 1 2021","Oct 1 2021, limited",,"1h 45m",,"From award-winning director Ben Lewin (The Sessions, The Catcher Was A Spy) Falling For Figaro follows a brilliant young fund manager named Millie (Danielle Macdonald, Patti Cake$, Dumplin), who quits her job and ends things with her longterm boyfriend in order to fulfill her dream of becoming an opera singer -- in the Scottish Highlands. She begins intense vocal training lessons with renowned but fearsome singing teacher and former opera diva Meghan Geoffrey-Bishop (Joanna Lumley). It is there she meets Max, another of Meghan's students who is also training for the upcoming ""Singer of Renown"" contest. The competition between Millie and Max gradually evolves into something different and deeper.","Falling for Figaro","73","https://www.rottentomatoes.com/m/falling_for_figaro",,"Ben Lewin, Allen Palmer"
"Digital 2.39:1","76","$103.1M","Brad Pitt, Joey King, Aaron Taylor-Johnson","David Leitch","Columbia Pictures","Action, Comedy","English","Kelly McCormick, David Leitch, Antoine Fuqua","Sony Pictures Entertainment (SPE), 87North, Hill District Media, CTB Inc.","R (Pervasive Language|Brief Sexuality|Strong and Bloody Violence)","Dec 3 2022","Aug 5 2022, wide",,"2h 6m","Dolby Atmos","In Bullet Train, Brad Pitt stars as Ladybug, an unlucky assassin determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe -- all with connected, yet conflicting, objectives -- on the world's fastest train. From the director of Deadpool 2, David Leitch, the end of the line is only the beginning in a wild, non-stop thrill ride through modern-day Japan.","Bullet Train","54","https://www.rottentomatoes.com/m/bullet_train_2022",,"Zak Olkewicz"
"Scope (2.35:1)","87","$369.3M","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","Matt Reeves","Warner Bros. Pictures","Action, Adventure, Crime, Drama","English","Dylan Clark, Matt Reeves","Dylan Clark Productions, Warner Bros., 6th & Idaho Productions, DC Entertainment","PG-13 (Some Suggestive Material|Drug Content|Strong Disturbing Content|Strong Language|Strong Violent Content)","Apr 19 2022","Mar 4 2022, wide",,"2h 56m","Dolby Digital Dolby Atmos, SDDS","Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.","The Batman","85","https://www.rottentomatoes.com/m/the_batman","Batman","Matt Reeves, Peter Craig"
,"47","$126.5M","Scarlett Johansson, Morgan Freeman, Choi Min-sik","Luc Besson","Universal Pictures","Action, Mystery & thriller, Sci-fi","English","Virginie Silla","Cine+, EuropaCorp, Canal+, TF1 Films Productions","R (Sexuality|Disturbing Images|Strong Violence)","May 17 2016","Jul 25 2014, wide",,"1h 28m",,"When a boyfriend tricks Lucy (Scarlett Johansson) into delivering a briefcase to a supposed business contact, the once-carefree student is abducted by thugs who intend to turn her into a drug mule. She is surgically implanted with a package containing a powerful chemical, but it leaks into her system, giving her superhuman abilities, including telekinesis and telepathy. With her former captors in pursuit, Lucy seeks out a neurologist (Morgan Freeman), who she hopes will be able to help her.","Lucy","66","https://www.rottentomatoes.com/m/lucy_2014",,"Luc Besson"
,"70",,"Benicio del Toro, Justin Timberlake, Eric Bogosian","Grant Singer","Netflix","Crime, Drama","English","Thad Luckinbill, Trent Luckinbill, Molly Smith","Black Label Media","R (Language|Violence|Some Nude Images)","Sep 29 2023","Sep 22 2023, limited",,"2h 14m","Dolby Digital","Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.","Reptile","45","https://www.rottentomatoes.com/m/reptile_2023",,"Benjamin Brewer, Grant Singer, Benicio del Toro"
"Flat (1.85:1)","41","$137.4K","Jude Law, Carrie Coon, Oona Roche","Sean Durkin","IFC Films","Mystery & thriller, Drama","English (United Kingdom)","Sean Durkin, Rose Garnett, Ed Guiney, Amy Jackson, Christina Piovesan, Derrin Schlesinger","FilmNation Entertainment, Element Pictures, Elevation Pictures, BBC Films","R (Nudity|Language Throughout|Some Sexuality|Teen Partying)","Nov 17 2020","Sep 18 2020, limited",,"1h 47m",,"An entrepreneur and his family begin to unravel after moving into an old country manor in England in the 1980s.","The Nest","90","https://www.rottentomatoes.com/m/the_nest_2020",,"Sean Durkin"
